="Firm-Level Treatment Effects (suppliers)"

="",="(1)",="(2)",="(3)",="(4)"
="",="Total Sales",="Total Buyers",="New Buyers",="Number of Products"

="treat_post",="5228271.542",="0.065",="-0.010",="153.257"
="",="(4644610.266)",="(0.086)",="(0.036)",="(257.143)"

="_cons",="42381085.868***",="8.271***",="0.003",="1974.726***"
="",="(1566137.786)",="(0.029)",="(0.012)",="(86.707)"

="Observations",="7942",="7942",="7942",="7942"
="R-squared",="0.892",="0.999",="0.215",="0.825"

="Standard errors in parentheses, clustered at firm level."
="*** p<0.01, ** p<0.05, * p<0.1"
=""
=""
="Firm-Level Treatment Effects (buyers)"

="",="(1)",="(2)",="(3)",="(4)"
="",="Total Purchases",="Total Suppliers",="New Suppliers",="Number of Products"

="treat_post",="4636321.514",="0.213**",="-0.069*",="-83.109"
="",="(6946371.235)",="(0.083)",="(0.036)",="(193.753)"

="_cons",="25478331.086***",="4.483***",="0.031**",="1238.198***"
="",="(2342279.296)",="(0.028)",="(0.012)",="(65.332)"

="Observations",="7942",="7942",="7942",="7942"
="R-squared",="0.439",="0.922",="0.191",="0.605"

="Standard errors in parentheses, clustered at firm level."
="*** p<0.01, ** p<0.05, * p<0.1"
